Time;Iterations;Result;Maximum;Minimum;REST;warmUp;WS
0:00:52;140552;4576.1584888426;133071.979964683;37.7454352292;2696.9067102718;0;5090.9441261249
0:00:53;146790;5113.1271717049;161583.257389202;37.7454352292;2761.4804295227;0;5148.2346400326
0:00:54;153040;5343.7400890321;189495.506114073;37.7454352292;2824.9112119831;0;5203.1562544982
0:00:55;159532;6254.95666222;198090.408462422;37.7454352292;2891.3307610952;0;5256.459323296
0:00:56;166248;29315.8673304561;206524.522721828;37.7454352292;2954.7010017135;0;5306.1448002073
0:00:57;171186;1275.1847717231;230446.074466344;37.7454352292;2991.7975911358;0;5366.0142504982
0:00:58;176295;25924.963821713;230446.074466344;37.7454352292;3024.5508689418;0;5417.622909432
0:00:59;180868;14669.4976841264;230446.074466344;37.7454352292;3053.2332059686;0;5453.3874593253
0:01:00;185160;5692.5894667285;230446.074466344;37.7454352292;3069.321309231;0;5493.1198271783
0:01:01;190114;3726.4102394599;230446.074466344;37.7454352292;3099.8440036058;0;5534.6816209929
0:01:02;194831;4828.6253270669;230446.074466344;37.7454352292;3126.2400878681;0;5571.0547178399
0:01:03;201587;30019.3925275728;230446.074466344;37.7454352292;3180.4493687881;0;5610.3814094663
0:01:04;208404;7707.8781991838;230446.074466344;37.7454352292;3236.4162339054;0;5647.5902020108
0:01:05;215479;7115.2317473672;230446.074466344;37.7454352292;3293.4844178314;0;5686.0949806708
0:01:06;222776;7325.8296813462;230446.074466344;37.7454352292;3352.5473881701;0;5740.8109778828
0:01:07;230308;8147.1333170825;230446.074466344;37.7454352292;3411.813690885;0;5793.9841169392
0:01:08;237728;7706.2138515957;230446.074466344;37.7454352292;3468.5688520118;0;5849.4749988946
0:01:09;245596;1386.5121567098;230446.074466344;37.7454352292;3526.5336570721;0;5904.8955644878
0:01:10;253338;8231.7961853363;230446.074466344;37.7454352292;3584.3413475055;0;5948.4272880259
0:01:12;260809;11241.5227676809;230446.074466344;37.7454352292;3636.843928661;0;5996.5770586077
0:01:13;268486;15889.0234336084;247541.908845167;37.7454352292;3692.2076711982;0;6045.4637886423
0:01:14;276322;11890.2812408222;256651.772308814;37.7454352292;3744.2768407705;0;6094.5290003765
0:01:15;284114;7361.8777382044;256651.772308814;37.7454352292;3796.1181252021;0;6139.3962415056
0:01:16;292329;28543.5618997111;256651.772308814;37.7454352292;3853.2404216278;0;6177.4107525758
0:01:17;300178;21316.934641852;256651.772308814;37.7454352292;3903.458739051;0;6217.3427360721
0:01:18;308337;21141.7026850808;256651.772308814;37.7454352292;3955.1564512543;0;6257.3346513952
0:01:19;316589;8092.5751755725;256651.772308814;37.7454352292;4008.8382078916;0;6299.8257194719
0:01:20;324904;39703.3366684136;256651.772308814;37.7454352292;4060.7297563728;0;6331.7988717674
0:01:21;333373;5698.5878956181;256651.772308814;37.7454352292;4115.9418810732;0;6360.7251238658
0:01:22;341923;8403.604272258;344102.59763051;37.7454352292;4166.617893654;0;6396.0043256564
0:01:23;350456;3802.4464788547;344102.59763051;37.7454352292;4217.6749246141;0;6427.1507805681
0:01:24;359166;8179.8962036611;344102.59763051;37.7454352292;4270.3959642267;0;6463.5828706837
0:01:25;367776;6847.3255921122;344102.59763051;37.7454352292;4319.3952572911;0;6482.8466397697
0:01:26;376533;9976.2933341501;344102.59763051;37.7454352292;4370.2956342185;0;6501.9890353549
0:01:27;385571;7067.0479103446;344102.59763051;37.7454352292;4421.2185121285;0;6522.2485371794
0:01:28;395125;3675.483477691;344102.59763051;37.7454352292;4477.3311929423;0;6555.7009195322
0:01:29;404769;8173.6227874718;344102.59763051;37.7454352292;4533.5976220009;0;6590.3695573934
0:01:30;414661;12411.3241914829;344102.59763051;37.7454352292;4590.9997896102;0;6624.1522459949
0:01:31;424290;15403.8868319565;344102.59763051;37.7454352292;4645.5397328401;0;6650.8339995315
0:01:32;433707;9652.5841898393;344102.59763051;37.7454352292;4695.8219730102;0;6679.6905927971
0:01:33;443560;23937.1143282061;344102.59763051;37.7454352292;4748.4441934436;0;6702.8680647941
0:01:34;453551;9279.1527316991;344102.59763051;37.7454352292;4801.7658647425;0;6717.6820922415
0:01:35;463556;9217.5574929018;344102.59763051;37.7454352292;4854.5794486265;0;6740.0184574508
0:01:36;473717;14847.9730883457;344102.59763051;37.7454352292;4909.3472926877;0;6768.295836023
0:01:37;483962;8459.730161679;344102.59763051;37.7454352292;4961.6284144304;0;6797.4319493102
0:01:38;494359;15861.4873411849;344102.59763051;37.7454352292;5015.0223439583;0;6821.3461031664
0:01:39;504913;16839.8760180968;344102.59763051;37.7454352292;5068.4558154093;0;6847.5973439572
0:01:40;515878;18596.4998411859;344102.59763051;37.7454352292;5124.9297462911;0;6872.0832859791
0:01:42;527750;14702.7277529718;389148.970117251;37.7454352292;5184.4576349499;0;6888.7575731261
0:01:43;538566;7979.016463344;389148.970117251;37.7454352292;5237.1541463476;0;6900.0433369494
0:01:44;549351;5655.8709099499;389148.970117251;37.7454352292;5288.0909333525;0;6912.4599547742
0:01:45;560123;14535.4985218125;389148.970117251;37.7454352292;5338.243961633;0;6924.2252005818
0:01:46;571477;10676.8811677006;389148.970117251;37.7454352292;5391.3672455868;0;6935.922282421
0:01:47;582126;8756.1740878015;389148.970117251;37.7454352292;5438.5059150976;0;6947.0237022655
0:01:48;592756;9289.2333790766;389148.970117251;37.7454352292;5484.200867844;0;6964.2953560379
0:01:49;603715;21454.3058684606;389148.970117251;37.7454352292;5533.0343431508;0;6985.7840894083
0:01:50;615209;1001.2606973567;389148.970117251;37.7454352292;5582.9175572778;0;7003.692972052
0:01:51;626014;9259.5490488499;389148.970117251;37.7454352292;5626.7962289615;0;7020.6681088852
0:01:52;636699;7596.3015430899;389148.970117251;37.7454352292;5669.6465678319;0;7029.4498812951
0:01:53;647717;28379.8564319823;389148.970117251;37.7454352292;5716.3479407827;0;7038.9404474037
0:01:54;660487;17711.5946651968;389148.970117251;37.7454352292;5772.2832040464;0;7048.2265879168
0:01:55;672752;16879.3207896349;389148.970117251;37.7454352292;5826.7658208039;0;7057.2070088907
0:01:56;684899;14823.1948609762;402860.308188136;37.7454352292;5879.2108657796;0;7065.8414258996
0:01:57;697347;16113.028382455;402860.308188136;37.7454352292;5933.3826043666;0;7075.3928271293
0:01:58;709987;16463.8783332562;402860.308188136;37.7454352292;5988.0523478564;0;7094.2563400978
0:01:59;722465;16814.0728409175;402860.308188136;37.7454352292;6040.4070988128;0;7114.9122656709
0:02:00;722864;10717.2945947432;402860.308188136;37.7454352292;6042.0636698772;0;7133.0316404224
